,tag,x,y,direction,x_variance,y_variance,xy_covariance
0,yellow,60.69584487003278,-1.5779872579606788,0.0,0.1,0.1,0.1
1,blue,60.200806869248716,4.727164395868094,0.0,0.1,0.1,0.1
2,yellow,64.7473192992096,-1.5005591479573948,0.0,0.1,0.1,0.1
3,blue,64.25228129842552,4.804592505871382,0.0,0.1,0.1,0.1
4,yellow,68.79879372838639,-1.4231310379541053,0.0,0.1,0.1,0.1
5,blue,68.30375572760231,4.882020615874666,0.0,0.1,0.1,0.1
6,yellow,72.85026815756315,-1.3457029279508212,0.0,0.1,0.1,0.1
7,blue,72.3552301567791,4.959448725877952,0.0,0.1,0.1,0.1
8,yellow,75.71860344019662,-1.293358356536963,0.0,0.1,0.1,0.1
9,blue,75.22356543941255,5.01179329729181,0.0,0.1,0.1,0.1
10,blue,80.27612407398608,4.222650375194284,0.0,0.1,0.1,0.1
11,yellow,79.88100250995555,-1.9302178876158074,0.0,0.1,0.1,0.1
12,yellow,80.98900706056169,-2.370052394741105,0.0,0.1,0.1,0.1
13,blue,82.43501835600466,3.4530954939400083,0.0,0.1,0.1,0.1
14,yellow,84.74557122331889,-3.9705479839221987,0.0,0.1,0.1,0.1
15,blue,86.19158251876186,1.852599904758911,0.0,0.1,0.1,0.1
16,yellow,88.50213538607609,-5.5710435731032995,0.0,0.1,0.1,0.1
17,blue,89.94814668151906,0.25210431557781376,0.0,0.1,0.1,0.1
18,yellow,92.25869954883328,-7.171539162284397,0.0,0.1,0.1,0.1
19,blue,93.70471084427625,-1.34839127360328,0.0,0.1,0.1,0.1
20,yellow,96.01526371159049,-8.772034751465501,0.0,0.1,0.1,0.1
21,blue,97.46127500703346,-2.9488868627843843,0.0,0.1,0.1,0.1
22,yellow,99.77182787434768,-10.372530340646597,0.0,0.1,0.1,0.1
23,blue,101.21783916979065,-4.549382451965478,0.0,0.1,0.1,0.1
24,yellow,103.52839203710488,-11.973025929827694,0.0,0.1,0.1,0.1
25,blue,104.97440333254785,-6.149878041146579,0.0,0.1,0.1,0.1
26,yellow,107.28495619986207,-13.573521519008791,0.0,0.1,0.1,0.1
27,blue,108.73096749530504,-7.750373630327676,0.0,0.1,0.1,0.1
28,yellow,110.28372894053705,-14.85115776757592,0.0,0.1,0.1,0.1
29,blue,111.72974023598002,-9.028009878894803,0.0,0.1,0.1,0.1
30,yellow,114.30120673000047,-15.988398734630048,0.0,0.1,0.1,0.1
31,blue,115.6488528800828,-9.897086316879431,0.0,0.1,0.1,0.1
32,yellow,118.96937072785471,-16.42444334004725,0.0,0.1,0.1,0.1
33,blue,119.6576154158158,-9.06657118764544,0.0,0.1,0.1,0.1
34,yellow,122.84034897325031,-14.723268276317174,0.0,0.1,0.1,0.1
35,yellow,126.69511749174481,-13.634493772312549,0.0,0.1,0.1,0.1
36,blue,123.3643431027748,-7.255046848887641,0.0,0.1,0.1,0.1
37,yellow,129.46944216513361,-10.7483899481613,0.0,0.1,0.1,0.1
38,yellow,132.79690549660805,-8.133622500526151,0.0,0.1,0.1,0.1
39,blue,125.79027186665552,-3.8114336334565024,0.0,0.1,0.1,0.1
40,yellow,133.74915708353905,-5.911000402852174,0.0,0.1,0.1,0.1
41,blue,125.98495989863089,-3.9829853422615464,0.0,0.1,0.1,0.1
42,yellow,135.6141720964821,-2.3594456858696127,0.0,0.1,0.1,0.1
43,blue,127.90326105480091,-0.329957633365197,0.0,0.1,0.1,0.1
44,yellow,137.47918710942517,1.192109031112956,0.0,0.1,0.1,0.1
45,blue,129.76827606774395,3.221597083617368,0.0,0.1,0.1,0.1
46,yellow,139.34420212236822,4.743663748095528,0.0,0.1,0.1,0.1
47,blue,131.633291080687,6.773151800599937,0.0,0.1,0.1,0.1
48,yellow,141.20921713531123,8.295218465078086,0.0,0.1,0.1,0.1
49,blue,133.49830609363002,10.324706517582499,0.0,0.1,0.1,0.1
50,yellow,143.0742321482543,11.846773182060666,0.0,0.1,0.1,0.1
51,blue,135.36332110657312,13.87626123456507,0.0,0.1,0.1,0.1
52,yellow,144.93924716119733,15.398327899043231,0.0,0.1,0.1,0.1
53,blue,137.22833611951614,17.42781595154764,0.0,0.1,0.1,0.1
54,yellow,146.8042621741404,18.949882616025796,0.0,0.1,0.1,0.1
55,blue,139.0933511324592,20.979370668530226,0.0,0.1,0.1,0.1
56,yellow,148.66927718708348,22.501437333008354,0.0,0.1,0.1,0.1
57,blue,140.95836614540224,24.530925385512774,0.0,0.1,0.1,0.1
58,yellow,150.53429220002647,26.05299204999094,0.0,0.1,0.1,0.1
59,blue,142.82338115834526,28.082480102495346,0.0,0.1,0.1,0.1
60,yellow,152.3879032520154,29.591014804083237,0.0,0.1,0.1,0.1
61,blue,144.62370606710726,31.519029864673858,0.0,0.1,0.1,0.1
62,yellow,153.63206877285876,33.568745921171534,0.0,0.1,0.1,0.1
63,blue,145.58855120630784,35.45065639755043,0.0,0.1,0.1,0.1
64,yellow,154.04005542295116,37.70498440973347,0.0,0.1,0.1,0.1
65,yellow,152.476327715293,42.40794230699599,0.0,0.1,0.1,0.1
66,blue,144.56222159593372,39.36609818068771,0.0,0.1,0.1,0.1
67,yellow,149.3846607212056,46.049818771103524,0.0,0.1,0.1,0.1
68,blue,141.58426062821383,42.16502485422862,0.0,0.1,0.1,0.1
69,yellow,146.85710128889116,49.3053071210435,0.0,0.1,0.1,0.1
70,yellow,144.90152725646837,50.072583534298715,0.0,0.1,0.1,0.1
71,blue,141.0324628996507,42.79039011453822,0.0,0.1,0.1,0.1
72,yellow,141.30104516460995,51.841297929680536,0.0,0.1,0.1,0.1
73,blue,137.43198080779226,44.55910450992004,0.0,0.1,0.1,0.1
74,yellow,137.7005630727515,53.610012325062385,0.0,0.1,0.1,0.1
75,blue,133.83149871593383,46.32781890530188,0.0,0.1,0.1,0.1
76,yellow,134.1000809808931,55.37872672044422,0.0,0.1,0.1,0.1
77,blue,130.23101662407544,48.09653330068372,0.0,0.1,0.1,0.1
78,yellow,130.4995988890347,57.147441115826055,0.0,0.1,0.1,0.1
79,blue,126.63053453221704,49.86524769606554,0.0,0.1,0.1,0.1
80,yellow,126.96377662585023,58.88402047689701,0.0,0.1,0.1,0.1
81,blue,123.09471226903257,51.601827057136525,0.0,0.1,0.1,0.1
82,blue,119.49298850264012,53.38581214754831,0.0,0.1,0.1,0.1
83,yellow,123.79744397982876,61.357393587859335,0.0,0.1,0.1,0.1
84,blue,117.08356113758833,56.60030828379078,0.0,0.1,0.1,0.1
85,blue,114.08404579795935,59.286066559583325,0.0,0.1,0.1,0.1
86,yellow,120.97513814942786,64.22664531979851,0.0,0.1,0.1,0.1
87,blue,112.14665514200982,62.81002159715854,0.0,0.1,0.1,0.1
88,yellow,116.13656429902443,68.85915267178282,0.0,0.1,0.1,0.1
89,blue,110.61296817246395,66.51153138869313,0.0,0.1,0.1,0.1
90,blue,110.60496511905569,70.52777417929795,0.0,0.1,0.1,0.1
91,yellow,118.96314274956224,71.7135383432956,0.0,0.1,0.1,0.1
92,blue,111.36037987841765,74.4631192556887,0.0,0.1,0.1,0.1
93,blue,112.86184359279247,78.21746114496895,0.0,0.1,0.1,0.1
94,yellow,120.78260682325849,75.28185126383329,0.0,0.1,0.1,0.1
95,blue,116.06694399740375,80.63928592667563,0.0,0.1,0.1,0.1
96,yellow,123.25841542074508,77.78483710248796,0.0,0.1,0.1,0.1
97,blue,118.39927506235928,83.11294699038501,0.0,0.1,0.1,0.1
98,yellow,126.39296289148271,80.95670493057854,0.0,0.1,0.1,0.1
99,blue,121.3685226868598,85.87097782005398,0.0,0.1,0.1,0.1
